HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.sentiment.label,Approve,Reject
3CO05SML7U42WJYCTVZ30X6G8YV0RQ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,32VNZTT0A73LIRE72YR71KRFFYQ4R5,ABL3H3O3BI8ZD,Submitted,Tue Feb 25 16:05:02 PST 2020,Tue Feb 25 16:05:26 PST 2020,Thu Feb 27 16:05:26 PST 2020,,,,24,0% (0/0),0% (0/0),0% (0/0),Police have arrested a man on suspicion of attempted murder after a prayer leader was stabbed at a mosque in central London  Officers were called to the London Central Mosque near Regents Park just after 3 pm local time and found a man in his 70s with stab injuries Londons Metropolitan Police said in a statement  The victim has been taken to hospital and his injuries are not life threatening said police who are not treating the incident as terror related Images and videos posted to social media appear to show officers restraining a man in a red sweater on the floor of the mosque,Conservative,,
3CO05SML7U42WJYCTVZ30X6G8YV0RQ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,339ANSOTR51T3U0RX3KEU9FKPOWKI6,A2XK59FYAFO9EX,Submitted,Tue Feb 25 15:57:43 PST 2020,Tue Feb 25 15:57:53 PST 2020,Thu Feb 27 15:57:53 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),Police have arrested a man on suspicion of attempted murder after a prayer leader was stabbed at a mosque in central London  Officers were called to the London Central Mosque near Regents Park just after 3 pm local time and found a man in his 70s with stab injuries Londons Metropolitan Police said in a statement  The victim has been taken to hospital and his injuries are not life threatening said police who are not treating the incident as terror related Images and videos posted to social media appear to show officers restraining a man in a red sweater on the floor of the mosque,Conservative,,
3CO05SML7U42WJYCTVZ30X6G8YV0RQ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3AMYWKA6YBLW01Q5TU3I4N6O02DO62,A3JLE2LJ5I17E2,Submitted,Tue Feb 25 16:19:09 PST 2020,Tue Feb 25 16:19:13 PST 2020,Thu Feb 27 16:19:13 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),Police have arrested a man on suspicion of attempted murder after a prayer leader was stabbed at a mosque in central London  Officers were called to the London Central Mosque near Regents Park just after 3 pm local time and found a man in his 70s with stab injuries Londons Metropolitan Police said in a statement  The victim has been taken to hospital and his injuries are not life threatening said police who are not treating the incident as terror related Images and videos posted to social media appear to show officers restraining a man in a red sweater on the floor of the mosque,Liberal,,
3CO05SML7U42WJYCTVZ30X6G8YV0RQ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3R6P78PK7KAEAMKJ1OY3AOP0TOWGTH,AOE2VD09DHOET,Submitted,Tue Feb 25 16:10:42 PST 2020,Tue Feb 25 16:11:03 PST 2020,Thu Feb 27 16:11:03 PST 2020,,,,21,0% (0/0),0% (0/0),0% (0/0),Police have arrested a man on suspicion of attempted murder after a prayer leader was stabbed at a mosque in central London  Officers were called to the London Central Mosque near Regents Park just after 3 pm local time and found a man in his 70s with stab injuries Londons Metropolitan Police said in a statement  The victim has been taken to hospital and his injuries are not life threatening said police who are not treating the incident as terror related Images and videos posted to social media appear to show officers restraining a man in a red sweater on the floor of the mosque,Conservative,,
3CO05SML7U42WJYCTVZ30X6G8YV0RQ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3RUIQRXJBBN6D1QF36TS1PKRVSYLLR,A317G7X02QTEM0,Submitted,Tue Feb 25 16:27:35 PST 2020,Tue Feb 25 16:27:39 PST 2020,Thu Feb 27 16:27:39 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),Police have arrested a man on suspicion of attempted murder after a prayer leader was stabbed at a mosque in central London  Officers were called to the London Central Mosque near Regents Park just after 3 pm local time and found a man in his 70s with stab injuries Londons Metropolitan Police said in a statement  The victim has been taken to hospital and his injuries are not life threatening said police who are not treating the incident as terror related Images and videos posted to social media appear to show officers restraining a man in a red sweater on the floor of the mosque,Conservative,,
3IJ95K7NDWBESPH5EQ7PC5OMEIUGNK,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,33F859I566CSEWLDL8P0VUVF2HBBHN,A1A9402JQBA2AF,Submitted,Tue Feb 25 16:29:07 PST 2020,Tue Feb 25 16:29:14 PST 2020,Thu Feb 27 16:29:14 PST 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),Police have dismantled what they say is the Europe Union s first clandestine underground cigarette factory four meters  13 feet  under a horse stable in southern Spain,Neutral,,
3IJ95K7NDWBESPH5EQ7PC5OMEIUGNK,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3DL65MZB8DEZ4RMH97DPLB4KSMICEE,A2ZRL1ZWWXJ0L7,Submitted,Tue Feb 25 16:16:04 PST 2020,Tue Feb 25 16:16:15 PST 2020,Thu Feb 27 16:16:15 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),Police have dismantled what they say is the Europe Union s first clandestine underground cigarette factory four meters  13 feet  under a horse stable in southern Spain,Neutral,,
3IJ95K7NDWBESPH5EQ7PC5OMEIUGNK,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3L4D84MILZRYWFJP902HTIESAMIHJC,ABL3H3O3BI8ZD,Submitted,Tue Feb 25 16:06:37 PST 2020,Tue Feb 25 16:06:41 PST 2020,Thu Feb 27 16:06:41 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),Police have dismantled what they say is the Europe Union s first clandestine underground cigarette factory four meters  13 feet  under a horse stable in southern Spain,Neutral,,
3IJ95K7NDWBESPH5EQ7PC5OMEIUGNK,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3PB5A5BD0V5RCONCOLV25SXI4R67GX,A3JLE2LJ5I17E2,Submitted,Tue Feb 25 16:15:23 PST 2020,Tue Feb 25 16:15:27 PST 2020,Thu Feb 27 16:15:27 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),Police have dismantled what they say is the Europe Union s first clandestine underground cigarette factory four meters  13 feet  under a horse stable in southern Spain,Conservative,,
3IJ95K7NDWBESPH5EQ7PC5OMEIUGNK,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3S96KQ6I9M3BY2ASZYXV43M3GWIDT6,A3SD02HCW68EUL,Submitted,Tue Feb 25 16:27:14 PST 2020,Tue Feb 25 16:27:25 PST 2020,Thu Feb 27 16:27:25 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),Police have dismantled what they say is the Europe Union s first clandestine underground cigarette factory four meters  13 feet  under a horse stable in southern Spain,Neutral,,
3S1WOPCJFFSKPLUTTXP9JVMTSIAJE2,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,36NEMU28XFC6UDKZ7W19ADGWT4QMWL,A3I7NI55YX118B,Submitted,Tue Feb 25 16:06:55 PST 2020,Tue Feb 25 16:07:07 PST 2020,Thu Feb 27 16:07:07 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),Powerful storms kills at least 11 people in the Southeast Volcanic tsunami warnings in the Philippines after an eruption near Manila,Neutral,,
3S1WOPCJFFSKPLUTTXP9JVMTSIAJE2,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,39U1BHVTDLQDGA8V69RJRU0RPJQT3L,ABL3H3O3BI8ZD,Submitted,Tue Feb 25 16:01:40 PST 2020,Tue Feb 25 16:01:45 PST 2020,Thu Feb 27 16:01:45 PST 2020,,,,5,0% (0/0),0% (0/0),0% (0/0),Powerful storms kills at least 11 people in the Southeast Volcanic tsunami warnings in the Philippines after an eruption near Manila,Conservative,,
3S1WOPCJFFSKPLUTTXP9JVMTSIAJE2,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3H7XDTSHKCQ623ODWT3EX8WZXIFWGO,A317G7X02QTEM0,Submitted,Tue Feb 25 16:21:11 PST 2020,Tue Feb 25 16:21:14 PST 2020,Thu Feb 27 16:21:14 PST 2020,,,,3,0% (0/0),0% (0/0),0% (0/0),Powerful storms kills at least 11 people in the Southeast Volcanic tsunami warnings in the Philippines after an eruption near Manila,Neutral,,
3S1WOPCJFFSKPLUTTXP9JVMTSIAJE2,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3X73LLYYQ1DUF5AAOYU9MPV9J6OHNH,A3JLE2LJ5I17E2,Submitted,Tue Feb 25 16:16:15 PST 2020,Tue Feb 25 16:16:19 PST 2020,Thu Feb 27 16:16:19 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),Powerful storms kills at least 11 people in the Southeast Volcanic tsunami warnings in the Philippines after an eruption near Manila,Neutral,,
3S1WOPCJFFSKPLUTTXP9JVMTSIAJE2,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3ZOTGHDK5IA1NZO2076L5S2GIRBSOT,A3SD02HCW68EUL,Submitted,Tue Feb 25 16:27:20 PST 2020,Tue Feb 25 16:27:48 PST 2020,Thu Feb 27 16:27:48 PST 2020,,,,28,0% (0/0),0% (0/0),0% (0/0),Powerful storms kills at least 11 people in the Southeast Volcanic tsunami warnings in the Philippines after an eruption near Manila,Liberal,,
3WPCIUYH1979BICY9WSTFJRHQ80TDO,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,37Z929RLG97H0RTAWOSKZ283HZRTSF,AUA2P8CCPR5GS,Submitted,Tue Feb 25 16:20:19 PST 2020,Tue Feb 25 16:20:23 PST 2020,Thu Feb 27 16:20:23 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),President Donald Trump has appointed Richard Grenell the current ambassador to Germany as the acting intelligence chief in charge of US spy agencies  The move was a surprise to many given his lack of relevant experience and controversial record of pushing conservative policies as a diplomat  But Mr Grenell is a staunch Trump loyalist and has been outspoken in his defence of the president  Critics say this bias will impede his ability to deliver neutral facts  As the acting Director of National Intelligence Mr Grenell will manage the National Security Agency FBI and CIA among other agencies as well as advise the president on intelligence concerns  The president announced the appointment via Twitter on Wednesday saying Mr Grenell had represented our Country exceedingly well as ambassador,Conservative,,
3WPCIUYH1979BICY9WSTFJRHQ80TDO,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3LJ7UR74RHC03TMF9RAQS0M5E10N4Z,A2XK59FYAFO9EX,Submitted,Tue Feb 25 15:57:37 PST 2020,Tue Feb 25 15:57:43 PST 2020,Thu Feb 27 15:57:43 PST 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),President Donald Trump has appointed Richard Grenell the current ambassador to Germany as the acting intelligence chief in charge of US spy agencies  The move was a surprise to many given his lack of relevant experience and controversial record of pushing conservative policies as a diplomat  But Mr Grenell is a staunch Trump loyalist and has been outspoken in his defence of the president  Critics say this bias will impede his ability to deliver neutral facts  As the acting Director of National Intelligence Mr Grenell will manage the National Security Agency FBI and CIA among other agencies as well as advise the president on intelligence concerns  The president announced the appointment via Twitter on Wednesday saying Mr Grenell had represented our Country exceedingly well as ambassador,Conservative,,
3WPCIUYH1979BICY9WSTFJRHQ80TDO,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3TXWC2NHNZPYGCKWYIN3827RNSN9SU,ABL3H3O3BI8ZD,Submitted,Tue Feb 25 16:05:34 PST 2020,Tue Feb 25 16:05:39 PST 2020,Thu Feb 27 16:05:39 PST 2020,,,,5,0% (0/0),0% (0/0),0% (0/0),President Donald Trump has appointed Richard Grenell the current ambassador to Germany as the acting intelligence chief in charge of US spy agencies  The move was a surprise to many given his lack of relevant experience and controversial record of pushing conservative policies as a diplomat  But Mr Grenell is a staunch Trump loyalist and has been outspoken in his defence of the president  Critics say this bias will impede his ability to deliver neutral facts  As the acting Director of National Intelligence Mr Grenell will manage the National Security Agency FBI and CIA among other agencies as well as advise the president on intelligence concerns  The president announced the appointment via Twitter on Wednesday saying Mr Grenell had represented our Country exceedingly well as ambassador,Conservative,,
3WPCIUYH1979BICY9WSTFJRHQ80TDO,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3UXUOQ9OKEWQ2XA92L3S96MF6WRA7M,A3AW887GI0NLKF,Submitted,Tue Feb 25 15:58:13 PST 2020,Tue Feb 25 15:58:23 PST 2020,Thu Feb 27 15:58:23 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),President Donald Trump has appointed Richard Grenell the current ambassador to Germany as the acting intelligence chief in charge of US spy agencies  The move was a surprise to many given his lack of relevant experience and controversial record of pushing conservative policies as a diplomat  But Mr Grenell is a staunch Trump loyalist and has been outspoken in his defence of the president  Critics say this bias will impede his ability to deliver neutral facts  As the acting Director of National Intelligence Mr Grenell will manage the National Security Agency FBI and CIA among other agencies as well as advise the president on intelligence concerns  The president announced the appointment via Twitter on Wednesday saying Mr Grenell had represented our Country exceedingly well as ambassador,Conservative,,
3WPCIUYH1979BICY9WSTFJRHQ80TDO,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:29 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:29 PST 2020,,,3Z4AIRP3C6CONO30OFEXS4604V11XL,A2ZRL1ZWWXJ0L7,Submitted,Tue Feb 25 16:04:00 PST 2020,Tue Feb 25 16:04:13 PST 2020,Thu Feb 27 16:04:13 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),President Donald Trump has appointed Richard Grenell the current ambassador to Germany as the acting intelligence chief in charge of US spy agencies  The move was a surprise to many given his lack of relevant experience and controversial record of pushing conservative policies as a diplomat  But Mr Grenell is a staunch Trump loyalist and has been outspoken in his defence of the president  Critics say this bias will impede his ability to deliver neutral facts  As the acting Director of National Intelligence Mr Grenell will manage the National Security Agency FBI and CIA among other agencies as well as advise the president on intelligence concerns  The president announced the appointment via Twitter on Wednesday saying Mr Grenell had represented our Country exceedingly well as ambassador,Neutral,,
