source,author,headline,summary,URL,publication date
ABC News,William Mansel,Woman killed in New Orleans during Mardi Gras parade after being hit by float,"A Mardi Gras celebration in New Orleans turned deadly when a woman was killed after being run over by a parade float.  The woman, whose name has not been released by police, was struck by a float from The Mystic Krewe of Nyx parade at the intersection of Magazine and Valence street around 9 p.m. local time Wednesday night, according to the New Orleans Police Department.",https://abcnews.go.com/US/woman-killed-orleans-mardi-gras-parade-hit-float/story?id=69095526,2/20/2020
Al Jazeera English,Al Jazeera,Fighting rages in northwest Syria; two Turkish troops killed,"Two Turkish soldiers were killed and another five wounded in Syrian government air raids on Thursday near the northwest region of Idlib.  More than 50 Syrian forces were killed in retaliation, Turkey's defence ministry added.  The attacks came a day after President Recep Tayyip Erdogan warned of an imminent Turkish military offensive in Idlib, where Syrian forces, backed by Russia airpower, mounted an operation to capture the region",https://www.aljazeera.com/news/2020/02/fighting-rages-northwest-syria-turkish-troops-killed-200220131908647.html,2/20/2020
Al Jazeera English,David Suber and Roshan De Stone,Residents of Idlib: 'Your indifference is our death sentence',"As Syrian government forces close in on them, residents of Idlib ask if the world will just stand aside and watch.",https://www.aljazeera.com/indepth/features/residents-idlib-indifference-death-sentence-200220062546236.html,2/20/2020
Al Jazeera English,Joseph Stepansky,Coronavirus in N Korea could be 'much more lethal' than in China,Experts say outbreak in North Korea could pose great risks to a malnourished people already https://www.aljazeera.com/news/2020/02/coronavirus-korea-lethal-china-200219132141267.html from poor health,,2/20/2020
Al Jazeera English,AL Jazeera,Germany shisha lounge shootings: All the latest updates,"After nine people were killed at shisha bars, German prosecutor reveals details of suspect's far-right manifesto.",https://www.aljazeera.com/news/2020/02/deadly-attacks-german-shisha-lounges-latest-updates-200220073658913.html,2/20/2020
Al Jazeera English,AL Jazeera,California to apologise for internment of Japanese Americans,Many say California 'led the racist anti-Japanese American movement' for aiding US internment of Japanese Americans.,https://www.aljazeera.com/news/2020/02/california-apologise-internment-japanese-americans-200220140945140.html,2/20/2020
Al Jazeera English,AL Jazeera,Analysts see 'blue wave' emerging in US cities ahead of election,Voters' interest in going to polls appears to be growing faster among those who disapprove of President Donald Trump,https://www.aljazeera.com/news/2020/02/analysts-blue-wave-emerging-cities-election-200219212308945.html,2/20/2020
Al Jazeera English,AL Jazeera,"S Sudan president, rebel leader agrees to form unity government",Rebel chief Riek Machar says he will form a government with President Salva Kiir after years of fighting.,https://www.aljazeera.com/news/2020/02/sudan-president-rebel-leader-agrees-form-unity-government-200220121647669.html,2/20/2020
Al Jazeera English,Hamza Mohamed,Will Kagame and Museveni resolve their dispute?,Two leaders set to meet on Friday in bid to resolve continuing dispute that led to closing of their shared border.,https://www.aljazeera.com/news/2020/02/kagame-museveni-resolve-dispute-200217051237330.html,2/20/2020
Al Jazeera English,AL Jazeera,200 days of Kashmir siege: A mother's wait for her jailed son,Hundreds of Kashmiris have been thrown into jail under PSA law that can prolong detention without bail.,https://www.aljazeera.com/news/2020/02/200-days-kashmir-siege-mother-wait-jailed-son-200220061243372.html,2/20/2020
Al Jazeera English,Arwa Ibrahim,Apathy runs high in Tehran as Iran gears up for parliament vote,"As campaigning ends, voters in capital say they will boycott key poll despite officials' appeals for a big turnout.",https://www.aljazeera.com/news/2020/02/apathy-runs-high-tehran-iran-gears-parliament-vote-200219172158656.html,2/20/2020
BBC News,BBC News,Trump ally Roger Stone sentenced to prison,"Roger Stone, long-time adviser and ally to President Donald Trump, has been sentenced to 40 months in jail.  Stone, 67, was found guilty in November on seven counts of lying to Congress, obstruction and witness tampering.  He is the sixth Trump aide convicted in a criminal case resulting from Robert Mueller's investigation into alleged collusion between Russia and the Trump campaign during the 2016 election.  Mr Trump has hinted he may pardon his ally.  Stone has maintained the case against him was politically motivated.",https://www.bbc.com/news/world-us-canada-51580160,2/20/2020
BBC News,BBC News,Democratic debate: Elizabeth Warren's attacks light up social media,"US Democratic presidential hopeful Elizabeth Warren is being praised online for her fiery performance in a televised debate on Wednesday.  Billionaire Michael Bloomberg was appearing in his first presidential debate in the contest and floundered in the face of rivals' attacks.  Ms Warren has fallen behind in the race but her attacks on Mr Bloomberg won her the debate on social media.  Bernie Sanders is currently the frontrunner to win the nomination.  The tone for the night was set when Ms Warren, a former teacher who has talked about her experiences of discrimination and unequal pay, branded Mr Bloomberg a ""billionaire who calls women fat broads and horse-faced lesbians"".",https://www.bbc.com/news/world-us-canada-51573235,2/20/2020
BBC News,BBC News,Germany shooting: Investigation into 'deeply racist' gunman's links,"The investigation into a deadly gun attack in Hanau is focusing on whether others knew about or helped organise it, Germany's federal prosecutor says.  The suspect shot dead nine people ""of migrant background"" at two shisha bars on Wednesday evening. He and his mother were later found dead in his flat.  Peter Frank said material the suspect Tobias R had posted online showed a ""deeply racist mindset"".  He had also been influenced by conspiracy theories, Mr Frank said.  Earlier Chancellor Angela Merkel said there were many signs Tobias R, 43, had acted out of racism.",https://www.bbc.com/news/world-europe-51577196,2/20/2020
BBC News,BBC News,London Central Mosque stabbing: Man is arrested,"A man has been arrested on suspicion of attempted murder after a stabbing inside a central London mosque.  The victim, in his 70s, was injured in an attack at the London Central Mosque, near Regent's Park, which police are not treating as terror-related.  He was taken to hospital by paramedics where his condition has been assessed as non-life threatening.  A 29-year-old man was apprehended by worshippers who broke from prayer to restrain him until police arrived.  In a statement, the mosque said the injured man was the muazzin, the person who makes the call to prayer, and he had been stabbed shortly after 15:00 GMT during afternoon prayer.",https://www.bbc.com/news/uk-england-london-51578770,2/20/2020
BBC News,BBC News,Syria civil war: How a father helps his daughter cope with life in a warzone,"Abdullah Mohammad and his family are living in a warzone but they've come up with a unique way to cope with air strikes.  When Salwa became startled by loud noises, her father used the sound of children letting off fireworks to show her that loud noises could be funny.  Abdullah says he tries to stay controlled and appear happy when air strikes are happening so his daughter can feel calm and happy too.",https://www.bbc.com/news/av/world-middle-east-51567277/syria-civil-war-how-a-father-helps-his-daughter-cope-with-life-in-a-warzone,2/20/2020
BBC News,BBC News,Trump criticised for appointing loyalist Grenell as acting spy chief,"President Donald Trump has appointed Richard Grenell, the current ambassador to Germany, as the acting intelligence chief in charge of US spy agencies.  The move was a surprise to many given his lack of relevant experience and controversial record of pushing conservative policies as a diplomat.  But Mr Grenell is a staunch Trump loyalist and has been outspoken in his defence of the president.  Critics say this bias will impede his ability to deliver neutral facts.  As the acting Director of National Intelligence, Mr Grenell will manage the National Security Agency, FBI, and CIA among other agencies, as well as advise the president on intelligence concerns.  The president announced the appointment via Twitter on Wednesday, saying Mr Grenell had ""represented our Country exceedingly well"" as ambassador.",https://www.bbc.com/news/world-us-canada-51576245,2/20/2020
BBC News,BBC News,Coronavirus: South Korean sect identified as hotbed,"A religious group in South Korea has been identified as a coronavirus hotbed, officials say, amid a sharp rise in confirmed cases in the country.  The infections among members of the Shincheonji Church of Jesus, the Temple of the Tabernacle of the Testimony (Shincheonji) are linked to one woman.  The sect in the city of Daegu accounts for 30 of 53 new cases, with officials warning of an unprecedented crisis.  South Korea also confirmed its first death from the virus, named Covid-19.",https://www.bbc.com/news/world-asia-51572137,2/20/2020
BBC News,BBC News,Human brain seized in mail truck on US-Canada border,"US customs officers made an unusual discovery when they carried out a spot check on a Canadian mail truck - a human brain inside a jar.  The brain was found at the Blue Water Bridge crossing, between Michigan and the Canadian province of Ontario, on 14 February, US Customs and Border Protection (CBP) said.  It was inside a shipment labelled ""Antique Teaching Specimen"".  The shipment originated in Toronto and was destined for Kenosha, Wisconsin.  ""Upon opening the shipment, CBP officers found the package to contain a human brain specimen inside of a clear glass mason jar without any paperwork or documentation in support of its lawful entry into the United States,"" the agency said in a statement.",https://www.bbc.com/news/world-us-canada-51577735,2/20/2020
BBC News,BBC News,Lesotho's Thomas Thabane to be charged with murdering his wife,"Lesotho's Prime Minister Thomas Thabane, 80, is to be charged with the murder of his estranged wife Lipolelo Thabane, police have said.  Mr Thabane announced he would be stepping down in July because of old age, without commenting about the case.  His current wife Maesaiah Thabane has already been charged with the murder.  He would be the first African leader to be charged with a domestic murder while in office, in a case that has shocked the tiny mountain kingdom.",https://www.bbc.com/news/world-africa-51571405,2/20/2020
BBC News,BBC News,Victoria's Secret stake sale values firm at $1.1bn,"A controlling stake in the lingerie firm Victoria's Secret will be sold to a US private equity firm.  On Thursday, the fashion retailer L Brands announced it will sell 55% of the company to Sycamore Partners for $525m (£408m).  Boss and executive chairman of Victoria's Secret, Leslie Wexner, will step down as part of the deal.  He said that separating Victoria's Secret into a private company would ""restore"" the business's growth.  The lingerie company accounted for nearly half of the company's $13.2bn revenue in 2019. But it has seen sales decline over the last year.  L Brands valued the firm at $1.1bn and will retain a 45% stake. After selling several businesses, L Brands said it will concentrate on the beauty chain it owns, Bath & Body Works.  Mr Wexner has been appointed chairman emeritus and will remain a member of the board.",https://www.bbc.com/news/business-51573360,2/20/2020
Breitbart News,John Nolte,Nolte: Failed Debate Gives Michael Bloomberg a Second Chance,"Given Mike Bloomberg’s dreadful debate performance Wednesday night, this might sound counterintuitive. But I think — by default — the Tiny Tyrant will have a second chance to break out of the pack at the next debate — which takes place this coming Tuesday.",https://www.breitbart.com/2020-election/2020/02/20/failed-debate-gives-michael-bloomberg-second-chance/,2/20/2020
Breitbart News,Francis Martel,Martel: Mike Bloomberg Is Not a Democrat – He’s a Maoist,"Mike Bloomberg knows better. The former Republican mayor of New York City has launched a presidential campaign predicated on telling Democrats he knows better what is best for their own party.  Bloomberg’s tenure as mayor was defined by this steadfast insistence on telling the people he served that he knew how to run their lives better than they did. Bloomberg knew how to feed newborns better than their mothers did, so he tried to ban baby formula. He knew better than police officers who the criminals are, so he mandated they target people of color more than white New Yorkers for random searches.",https://www.breitbart.com/2020-election/2020/02/20/martel-mike-bloomberg-not-democrat-hes-maoist/,2/20/2020
Breitbart News,Breitbart TV,Buttigieg’s Brother-in-Law: ‘Everything Pete Is Pushing’ Is ‘Anti-God’,"Democratic presidential candidate Pete Buttigieg’s brother-in-law Pastor Rhyan Glezman criticized Buttigieg on Fox News Channel’s “Tucker Carlson Tonight” on Wednesday.  Glezman said, “Yeah, in the height of intellectual dishonesty for Pete to make claims that there’s no compatibility with being a Christian and voting for Trump. Pete, in fact, is the one who is pushing agendas and rhetoric that is against, clearly against Scripture.”",https://www.breitbart.com/clips/2020/02/20/buttigiegs-brother-in-law-everything-pete-is-pushing-is-anti-god/,2/20/2020
Breitbart News,Joshua Caplan,Roger Stone Sentenced to 40 Months in Prison,"Roger Stone, a longtime Republican operative and staunch ally of President Donald Trump, was sentenced Thursday to 40 months in prison in a case brought by Robert Mueller’s special counsel investigation.",https://www.breitbart.com/politics/2020/02/20/roger-stone-sentenced-to-40-months-in-prison/,2/20/2020
Breitbart News,Trent Baker,FNC’s Napolitano: Trump ‘Might Pardon Roger Stone Today’,"During a Thursday appearance on “Fox & Friends,” Fox News legal analyst Andrew Napolitano suggested President Donald Trump could pardon confidant Roger Stone.  This week, Napolitano called on Judge Amy Berman Jackson to order a new trial after it was revealed the foreperson of the jury had social media posts critical of the president. On Thursday, Napolitano said Trump could pardon Stone to “fairly undo this mess.”  Napolitano stated, “I don’t know what the president is going to do.”  Co-host Steve Doocy interrupted, asking if he is suggesting Trump could pardon Stone.",https://www.breitbart.com/clips/2020/02/20/fncs-napolitano-trump-might-pardon-roger-stone-today/,2/20/2020
Breitbart News,Steve Hantler,Steve Hantler: Darrell Issa Is the True Trump Conservative in CA-50,"Pro-Trump, pro-MAGA conservatives’ eyes will be focused like a laser on the March 3 runoff election in California’s 50th Congressional District, as it affords Trump allies an opportunity to send President Trump Congressional reinforcements as he heads into the 2020 election cycle.",https://www.breitbart.com/politics/2020/02/20/steve-hantler-darrell-issa-is-the-true-trump-conservative-in-ca-50/,2/20/2020
Breitbart News,Oliver JJ Lane,Priti Patel’s ‘Economically Inactive’ Comments Betray UK Govt’s Hostility to Traditional Family,"“Almost communist” comments by the Home Secretary that “economically inactive” people should be mobilised into the workplace have underlined the actively hostile policy environment for young families created by the government, and have angered a vocal group of stay-at-home mothers.",https://www.breitbart.com/europe/2020/02/20/patel-betrays-uk-govts-hostile-attitude-to-traditional-family-life/,2/20/2020
Breitbart News,AFP,"In the US, leftist local prosecutors make inroads"," On the national level, President Donald Trump is appointing judges by the dozens to positions on US federal courts, ensuring a conservative tilt for a generation.  But on the local level, a small group of progressive state prosecutors have been elected, and they have big ideas about criminal justice reform.",https://www.breitbart.com/news/in-the-us-leftist-local-prosecutors-make-inroads/,2/20/2020
Breitbart News,Lucas Nolan,Google AI Won’t Label People ‘Man’ or ‘Woman’ to ‘Avoid Bias’,A Google AI tool used to recognize objects in images will reportedly no longer attach gender labels such as “woman” or “man” to people in pictures in order to “avoid bias.”,https://www.breitbart.com/tech/2020/02/20/google-ai-wont-label-people-man-or-woman-to-avoid-bias/,2/20/2020
Breitbart News,David NG,Report: Facebook’s Mark Zuckerberg Has Employees Blow-Dry His Sweaty Armpits,Facebook CEO Mark Zuckerberg reportedly has members of his communications staff blow-dry his armpits ahead of big speeches and other appearances that might cause the tech billionaire to experience flop sweat.,https://www.breitbart.com/economy/2020/02/20/report-facebooks-mark-zuckerberg-has-employees-blow-dry-his-sweaty-armpits/,2/20/2020
CBS News,CBS News,"Florida ferry accident shocks residents of Fisher Island: ""This has never happened""","An investigation is underway in Florida after a car rolled off a ferry into a channel more than 50 feet deep, killing two women inside on Tuesday. The car was apparently at the front of the ferry, which regularly transports vehicles and passengers between Fisher Island and Miami Beach, about two miles apart.  The Mercedes-Benz was being driven by 63-year-old Emma Afra with 75-year-old Viviane Brahms inside. Dive crews searched the waters Tuesday night and eventually found the two deceased women inside the car, reportedly embracing each other in the back seat. ""It's still very early in the investigative process. Our teams here from Sector Miami alongside Miami-Dade County Police have communicated with the crew and with passengers and are just beginning to put those pieces together,"" said Captain Jo-Ann Burdian, the Coast Guard Sector Miami commander.",https://www.cbsnews.com/news/fisher-island-florida-ferry-two-women-dead-after-car-rolls-into-water/,2/20/2020
CBS News,CBS News,Coronavirus live updates: Inspectors in Wuhan go door-to-door searching for every coronavirus case,"""Wartime"" measures have been implemented in some parts of the Chinese province of Hubei, which is home to Wuhan — the epicenter of the coronavirus outbreak. Some residents have been barred from leaving their apartments, and officials in protective suits were going door-to-door in Wuhan this week looking for infected people.  ""This must be taken seriously,"" Wang Zhonglin, Wuhan's newly selected Communist Party secretary, said, according to the Associated Press.",https://www.cbsnews.com/live-updates/coronavirus-outbreak-death-toll-infections-latest-news-updates-2020-02-20/,2/20/2020
CBS News,Anna Werner,"Alabama couple struggling after hospital sues over medical debt: ""I wish you'd have let me die""","An Alabama woman said she wished her husband had let her die after the hospital where she received an emergency appendectomy sued the couple over a bill for more than $30,000. KC Roberts and her husband Daryl said they paid what they could each month toward the bill for three years, but in September, they were sued for the full amount, plus interest, a total of almost $37,000.  ""I told my husband, 'I wish you'd have let me die,'"" KC said to CBS News Consumer and Investigative Correspondent Anna Werner. ""I've said, 'Honey, I love you and I love my family, but if you had let me go, today you would not be going through this.'""
The couple owns a struggling T-shirt screen printing company outside Dothan, Alabama, and said in 2015 they could no longer afford health insurance.  ""Businesses are closing. People are not making money like they used to be,"" KC said.",https://www.cbsnews.com/news/health-care-costs-alabama-hospital-sues-patient-to-collect-medical-debt-after-appendectomy/,2/20/2020
CBS News,Melissa Quinn,"Buttigieg, Sanders campaigns request limited recount in Iowa","The ongoing saga of the Iowa caucuses entered a new phase Wednesday as Pete Buttigieg and Bernie Sanders asked the Iowa Democratic Party to conduct a recount of specific precinct caucuses, the Iowa Democratic Party announced.  The requests from Sanders and Buttigieg come more than two weeks after the Iowa caucuses, which were roiled by technical issues with a mobile phone app that delayed the reporting of results. In all, the two presidential campaigns asked for a recount of 63 precincts.  The Iowa Democratic Party said it will examine the requests to determine whether they show caucus errors that would change the allocation of national delegates. The party will inform Sanders and Buttigieg of its findings within 48 hours.",https://www.cbsnews.com/news/2020-iowa-democratic-caucuses-buttigieg-sanders-campaigns-request-limited-recount/,2/20/2020
CBS News,Aimee Picchi,Payday loans are landing people in jail,"Payday loans offer workers a way to get some quick cash. What might surprise many borrowers: Falling behind on repaying those loans can land them in court — and even behind bars.  The issue stems from a clause in the payday loan contracts, as well as quirks in the U.S. legal system. More than 99% of storefront payday lenders have what's called a small-claims ""carve out"" in their contracts, which means that rather than turning to arbitration in case of an unpaid debt, they can take the case to small-claims court.  If the borrower fails to show up for court, they can be arrested for contempt of court. And that's exactly what is happening, with payday lenders increasingly relying on this strategy, according to a new study from the Consumer Federation of America (CFA). ",https://www.cbsnews.com/news/payday-loans-dickensian-system-is-landing-borrowers-in-jail-group-says/,2/20/2020
CBS News,Grace Segers,"New poll shows Trump faltering in two ""blue wall"" states he carried in 2016","President Trump is in the Oval Office in large part because of his narrow victories in Wisconsin, Michigan and Pennsylvania, three states traditionally considered a ""blue wall"" which crumbled for Democrats in 2016. However, a new poll indicates that Mr. Trump may have trouble holding onto two of those states in 2020.  A Quinnipiac poll released Thursday found all top Democratic candidates leading Mr. Trump in Pennsylvania and Michigan. He trails Joe Biden, Amy Klobuchar and Michael Bloomberg by 6 to 8 percentage points in Pennsylvania, and Bernie Sanders tops Mr. Trump by 5 percentage points in Michigan.  It's not all bad news for the Trump campaign, however, since the president leads all Democrats in Wisconsin by 7 to 11 percentage points.",https://www.cbsnews.com/news/new-poll-shows-trump-faltering-in-blue-wall-states-he-carried-in-2016/,2/20/2020
CBS News,Stephen Gandel,"1 Mike Bloomberg equals 660,000 American households, wealthwise","Although Mike Bloomberg's politics may remain murky to many Americans, they can be sure of one thing: He would be by far the richest president in U.S. history. The media mogul made an estimated $3.5 billion last year in income alone from Bloomberg LP, the financial data and news company he founded in 1981 to serve Wall Street banking and trading clients. That's more than 56,000 times the median annual U.S. household income of nearly $62,000 in 2018, the latest year the number is available. Like Bloomberg's estimated total net worth of $64 billion equals the total net worth of nearly 660,000 American households, based on the latest available median net worth of U.S. households, which was around $97,000 in 2016. (The average American household's net worth is much higher, but it's skewed upward by the super-rich, like, well, Mike Bloomberg.)",https://www.cbsnews.com/news/mike-bloomberg-net-worth-media-company-finance-terminals-revenue/,2/20/2020
CBS News,Taylor Mooney and Grace Baek,Is artificial intelligence making racial profiling worse?,"Throughout its history, the LAPD has found itself embroiled in controversy over racially biased policing. In 1992, police violence and the acquittal of four police officers who beat black motorist Rodney King culminated in riots that killed more than 50 people. Many reforms have been instituted in the decades since then, but racial bias in LA law enforcement continues to raise concerns. A 2019 report found that the LAPD pulled over black drivers four times as often as white drivers, and Latino drivers three times as often as whites, despite white drivers being more likely to have weapons, drugs or other contraband.  New technological tools employed by the department could be aggravating the problem. In an effort to further reduce crime, the LAPD has turned to big data.",https://www.cbsnews.com/news/artificial-intelligence-racial-profiling-2-0-cbsn-originals-documentary/,2/20/2020
CBS News,Ariana Freeman,Sit-in at Syracuse enters fourth day after racist and biased incidents continue to be reported on campus,"A sit-in at Syracuse University entered its fourth day on Thursday as dozens of students from the activist group #NotAgainSU continued to lash out at the university's faculty over what they say are hate crimes continuing on campus. According to the school's Department of Public Safety, eight ""bias incidents"" have been investigated since early December.  In a recent case, two African-American students reported racial slurs shouted toward them as they walked to class earlier this month. Swastikas drawn with graffiti were also found inside the school library and a popular campus restroom.  The FBI launched an investigation into campus racism, homophobia and anti-Semitic graffiti in November after several similar incidents were reported. But students say their investigation didn't lead to any changes. ",https://www.cbsnews.com/news/syracuse-sit-in-enters-fourth-day-after-racist-and-biased-incidents-continue-to-be-reported-on-campus/,2/20/2020
CBS News,Caitlin O'Kane,"Neil Young pens open letter to President Trump: ""Our first black president was a better man than you are""","Neil Young is not mincing words when it comes to President Donald Trump. The singer wrote an open letter to Mr. Trump, posted on his website, and with the first sentence, it's apparent this is far from a love note: ""You are a disgrace to my country,"" Young writes.  ""Bragging about the U.S. economy does not disguise the fact that the numbers today are what you inherited almost 4 years ago,"" Young continues, referring to Mr. Trump's recent spat over President Obama's role in the financial recovery.  On Monday, Mr. Obama tweeted: ""Eleven years ago today, near the bottom of the worst recession in generations, I signed the Recovery Act, paving the way for more than a decade of economic growth and the longest streak of job creation in American history.""  ",https://www.cbsnews.com/news/neil-young-pens-open-letter-to-president-trump-our-first-black-president-was-a-better-man-than-you-are/,2/20/2020
CNN,Julia Horowitz,Goldman Sachs warns of stock market correction,"Stocks keep reaching record highs. Goldman Sachs is worried that leaves investors vulnerable to surprises.  The investment bank told clients this week that a near-term correction, in which the market slides at least 10% from a recent peak, ""is looking much more probable.""  The thinking: Equity markets look ""increasingly exposed"" to disappointing earnings growth due to the new coronavirus outbreak, Goldman warns.  The number of companies that have lowered their guidance on profits for the first quarter is still in line with past years. But Apple's surprise update this week that it wouldn't hit its revenue target has put investors on edge.",https://www.cnn.com/2020/02/20/investing/goldman-sachs-stocks/index.html,2/20/2020
CNN,Rob Picheta,Prayer leader stabbed at London mosque as police arrest man on suspicion of attempted murder,"Police have arrested a man on suspicion of attempted murder after a prayer leader was stabbed at a mosque in central London.  Officers were called to the London Central Mosque near Regent's Park just after 3 p.m. local time, and found a man in his 70s with stab injuries, London's Metropolitan Police said in a statement.  The victim has been taken to hospital and his injuries are not life-threatening, said police, who are not treating the incident as terror-related. Images and videos posted to social media appear to show officers restraining a man in a red sweater on the floor of the mosque.",https://www.cnn.com/2020/02/20/uk/london-mosque-stabbing-gbr-intl/index.html,2/20/2020
CNN,"Luke McGee, Rob Picheta, Sheena McKenzie and Ivana Kottasova",Germany shooting: Gunman kills 9 at Hanau shisha bars,"Some people attending the vigil for the victims of the terrorist attack in Hanau on Thursday evening came with signs denouncing racisms and xenophobia.   The Federal Prosecutor's Office said the suspected shooter had published a racist ""manifesto"" of sorts on his personal website. The shooting was Germany's third deadly attack linked to right-wing extremism in a year.  Five of the nine people shot dead at two shisha bars in the city were Turkish citizens, according to Turkey's ambassador to Berlin.",https://www.cnn.com/europe/live-news/germany-shooting-dle-intl/index.html,2/20/2020
CNN,Kerry Flynn,Los Angeles Times is offering buyouts to staffers with at least two years of employment,"The Los Angeles Times is offering its staff voluntary buyouts less than two years after biotech billionaire Dr. Patrick Soon-Shiong swooped in to buy the beleaguered newspaper in hopes of turning it around.  In an email to staffers on Wednesday, The California Times, the company that owns the Los Angeles Times, announced voluntary buyout packages to employees who have worked at the company for least two years. The ""separation plan"" that CNN Business reviewed says that ""employees of California Times and its subsidiaries"" are eligible for the buyout. The California Times also owns The San Diego Union-Tribune, the now-defunct Spanish-language Hoy and several small community papers.",https://www.cnn.com/2020/02/20/media/los-angeles-times-buyouts/index.html,2/20/2020
